type,sub_type,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,sanitized_property_summary
single_family,,599000.0,1083.0,1.0,3.0,2.0,2.0,2.0,1.0,1925.0,"3BD/2BA single-family detached home in a neighborhood. Features a revolutionary, split heat pump heating/cooling, new 200-amp electrical panel, tankless water heater, and charger for your electric vehicle. Bonus structures include an ample tool shed, 1 car garage/ workshop, and parking for up to 5 cars."
single_family,,479000.0,1927.0,1.0,3.0,2.0,2.0,2.0,2.0,1976.0,"Nestled in the highly sought-after neighborhood on a quiet cul-de-sac, this amazing 1, offers timeless charm and exceptional functionality. Beautiful ivy welcomes you to a large covered front porch, where French doors open to a warm foyer with wood plank tile overlooking the step-down living room with fireplace."
single_family,,748000.0,1203.0,1.0,2.0,2.0,2.0,2.0,2.0,1974.0,"Perched on a greenbelt within the highly desired community this charming 2 bedroom, 2 bathroom, end unit, offers two extra large primary ensuite bedrooms. The open concept living room is complete with a gas fireplace as the focal point. Energy-efficient and quiet living is ensured by a high-efficiency HVAC system with newly installed ductwork and a touchscreen thermostat."
multi_family,,599000.0,1038.0,,2.0,,,,,1925.0,"3BD/2BA can be used as a single-family detached home in a neighborhood. Features a revolutionary, split heat pump heating/cooling, new 200-amp electrical panel, tankless water heater, and charger for your electric vehicle. Bonus structures include an ample tool shed, 1 car garage/ workshop, and parking for up to 5 cars."
single_family,,1099000.0,3261.0,1.0,4.0,5.0,4.0,4.0,2.0,2004.0,"This customized model is nestled in a lushly landscaped setting with ultimate privacy and mountain top views. The primary suite with luxury bath & dressing area, large closet with natural light and an access door directly to the pool & spa."
single_family,,1850000.0,3420.0,1.0,4.0,3.0,3.0,3.0,2.0,2002.0,"4-bedroom, 3-bath residence spans approximately 3,420 square feet of thoughtfully designed living space. The home's circular driveway, manicured landscaping, and impressive curb appeal set the tone for the quality and care found throughout."
single_family,,725000.0,1372.0,1.0,2.0,2.0,2.0,2.0,2.0,1953.0,"The property sits on a large lot and features a detached garage. With a little vision and, this property can truly shine and showcase its charm."
single_family,,1250000.0,1954.0,2.0,4.0,2.0,2.0,2.0,2.0,1965.0,"4-bedroom, 2-bathroom home offers approximately 1,924 square feet of comfortable living space on a generous 7,601-square-foot lot. Freshly painted both inside and out, the property showcases a clean, modern aesthetic and is truly move-in ready."
multi_family,,1898000.0,3370.0,3.0,4.0,4.0,3.0,3.0,,1925.0,"Rare renovated duplex with an addt'l vacant in-law garden unit, offering strong in place income, flexibility & long term upside. Spanning multiple levels, the property features classic 1920s charm, abundant natural light & well proportioned layouts throughout."
single_family,,375000.0,1784.0,,3.0,2.0,2.0,2.0,,2003.0,"3-bedroom, 2-bathroom, 1,794 sq. ft. open-concept home, thoughtfully designed for comfort, style, and functionality. Modern kitchen blends practicality with elegance, featuring GRANITE countertops, STAINLESS STEEL APPLIANCES, and a generously sized pantry."
condos,condo,2095000.0,1317.0,2.0,2.0,2.0,2.0,2.0,,2016.0,"2-bedroom, 2-bath, view residence at The. Beautiful engineered bamboo hardwood floors flow throughout the open-concept layout. Residents enjoy resort-style amenities, including a 75-foot lap pool, spa, gym, sauna, lounge, clubhouse."
single_family,,774000.0,2897.0,2.0,5.0,3.0,3.0,3.0,,2025.0,"New construction on 2. 5 spacious bedrooms and 3 full bathrooms, thoughtfully laid out for comfort and functionality. The home is finished with stylish tile flooring, a brand-new roof, and owned solar."
single_family,,2295000.0,3000.0,1.0,4.0,3.0,3.0,3.0,1.0,1961.0,"4-bedroom, 3-bathroom residence perfectly blends classic architectural charm with contemporary finishes and thoughtful design. The chef's kitchen features sleek custom oak cabinetry, Macchia stone countertops, premium stainless-steel appliances and designer light fixtures. Enjoy seamless indoor-outdoor living with sliding glass doors that open to your private landscaped backyard."
single_family,,6595000.0,3165.0,2.0,4.0,4.0,3.0,3.0,2.0,1966.0,"Towering walls of glass vanish seamlessly into the structure, dissolving the boundary between indoors and out. Outside, an ocean-view yard and pool sit in perfect orientation, creating a private resort-like sanctuary."
single_family,,546250.0,2266.0,2.0,4.0,3.0,2.0,2.0,,2020.0,"2-story home has almost 2300 SF of living space with 4 spacious bedrooms and 2.5 bathrooms. Open concept floorplan with the kitchen, dining, living, powder, laundry room, and master bedroom suite all downstairs. Top story has 3 bedrooms, one bathroom and a huge loft."
single_family,,1295000.0,4922.0,2.0,4.0,4.0,4.0,4.0,,1980.0,"The 6th green of the prestigious, ive has been completely transformed inside and out by its sellers. Situated on over half an acre, this stunning home features engineered hardwood and beautiful tile throughout. Upstairs offers 3 bedrooms, 2.5 baths, a remodeled kitchen, bar area, formal living, den, and formal dining."
